Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/12/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,NJ,07203,Older American,None,Web,11/12/25,Closed with explanation,Yes,N/A,17193387
11/10/25,Debt collection,Other debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,None,TD BANK US HOLDING COMPANY,NJ,070XX,"Older American, Servicemember",None,Web,11/10/25,Closed with non-monetary relief,Yes,N/A,17143864
11/21/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,FL,338XX,Older American,None,Web,11/21/25,In progress,Yes,N/A,17800428
10/19/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,PA,179XX,Servicemember,None,Web,10/19/25,Closed with explanation,Yes,N/A,16682950
11/10/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,FL,34743,Servicemember,None,Web,11/10/25,Closed with monetary relief,Yes,N/A,17137131
11/04/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,CA,92223,None,None,Web,11/05/25,Closed with explanation,Yes,N/A,17011106
11/03/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,FL,33155,None,None,Web,11/03/25,Closed with explanation,Yes,N/A,16986132
11/13/25,Checking or savings account,Other banking product or service,Opening an account,Unable to open an account,,None,TD BANK US HOLDING COMPANY,NY,11550,None,None,Web,11/13/25,Closed with explanation,Yes,N/A,17209076
10/24/25,Checking or savings account,Other banking product or service,Closing an account,Company closed your account,,None,TD BANK US HOLDING COMPANY,FL,33157,None,None,Web,10/24/25,In progress,Yes,N/A,16801751
11/09/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,NJ,XXXXX,None,None,Web,11/09/25,Closed with explanation,Yes,N/A,17123845
10/06/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,,None,TD BANK US HOLDING COMPANY,VT,05602,None,Consent not provided,Web,10/06/25,Closed with explanation,Yes,N/A,16392429
10/28/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,IN,46236,None,None,Web,10/28/25,Closed with explanation,Yes,N/A,16837483
11/17/25,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,MO,63385,None,None,Web,11/17/25,In progress,Yes,N/A,17288592
10/23/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,MA,02453,None,None,Web,10/23/25,Closed with explanation,Yes,N/A,16783648
11/10/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,CA,90805,None,None,Web,11/10/25,In progress,Yes,N/A,17141752
11/09/25,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,None,TD BANK US HOLDING COMPANY,CT,067XX,None,None,Web,11/09/25,Closed with explanation,Yes,N/A,17123681
10/15/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,TX,78660,None,None,Web,10/15/25,Closed with explanation,Yes,N/A,16597256
11/04/25,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,VA,23226,Older American,N/A,Phone,11/12/25,In progress,Yes,N/A,17015420
10/09/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,91977,None,Consent not provided,Web,10/09/25,Closed with explanation,Yes,N/A,16435121
10/20/25,Checking or savings account,Checking account,Opening an account,Unable to open an account,,None,TD BANK US HOLDING COMPANY,NY,10036,None,None,Web,10/20/25,Closed with non-monetary relief,Yes,N/A,16695562
10/03/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,NY,10308,None,Consent not provided,Web,10/03/25,Closed with monetary relief,Yes,N/A,16353258
11/22/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,WI,53718,None,None,Web,11/22/25,Closed with non-monetary relief,Yes,N/A,17442852
10/30/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,NJ,070XX,None,None,Web,10/30/25,In progress,Yes,N/A,16888653
09/30/25,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,"Follow-up to Complaint ID XXXX regarding account XXXX XXXX. I have never received verification or documentation of this alleged debt. XXXX shows it as verified/updated, which is inaccurate and incomplete. 

The furnisher has failed to provide proof of the debt, the original agreement, or chain of assignment, as required under the FDCPA ( 15 U.S.C. 1692g ) and FCRA ( 15 U.S.C. 1681s-2 ). 

I no longer want verification I demand that the furnisher delete this account from all credit reports immediately. Screenshots of the XXXX reporting, my identification, and proof of address are attached for reference. 

Reporting this account without proper documentation is unlawful. I request confirmation once the account has been removed.",None,TD BANK US HOLDING COMPANY,OH,44109,None,Consent provided,Web,09/30/25,Closed with explanation,Yes,N/A,16262774
