Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/06/25,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,,None,TD BANK US HOLDING COMPANY,FL,32236,None,N/A,Referral,10/06/25,Closed with explanation,Yes,N/A,16400581
10/09/25,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,CA,91730,None,None,Web,10/21/25,Closed with non-monetary relief,Yes,N/A,16485238
11/03/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,CA,91606,None,None,Web,11/03/25,In progress,Yes,N/A,16993049
10/17/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,MA,01605,None,None,Web,10/17/25,Closed with explanation,Yes,N/A,16655566
10/18/25,Checking or savings account,Checking account,Closing an account,Company closed your account,,None,TD BANK US HOLDING COMPANY,MA,01760,None,None,Web,10/18/25,Closed with explanation,Yes,N/A,16676636
10/20/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,OH,44125,None,None,Web,10/20/25,Closed with explanation,Yes,N/A,16684374
11/12/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,GA,30127,None,None,Web,11/12/25,In progress,Yes,N/A,17193091
10/09/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,CA,90303,None,None,Web,10/21/25,Closed with non-monetary relief,Yes,N/A,16481067
10/20/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,94560,None,None,Web,10/20/25,Closed with explanation,Yes,N/A,16687696
11/08/25,Credit card,Store credit card,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,OH,45102,None,None,Web,11/08/25,In progress,Yes,N/A,17117430
10/06/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,On XXXX the XXXX I attempted to make a withdrawal from TD Bank XXXX XXXX XXXX  and was discriminated against by not being able to access funds for my account I have all the correct credentials for withdrawing my funds I was already authenticated by another bank teller The other bank teller which described herself as an assistant XXXX proceeded to be rude to me while I was on the phone with a bank customer call care representative She laughed in my face refused my money and called the cops on me lied and said that I threatened her and made me leave the bank I have reported this issue several times and attempted the same procedure from another bank in XXXX XXXX  and did not access and my account is blocked I've reported this to the corporate office of TD Bank there has not been anything done and they keep blocking my account my XXXX account my credit card and my funds they will not allow me to retrieve cash money or a cashier 's check from their bank I now request legal actions against this bank for discrimination.,None,TD BANK US HOLDING COMPANY,FL,33880,Servicemember,Consent provided,Web,10/06/25,Closed with explanation,Yes,N/A,16386463
10/08/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,CA,91791,None,Consent not provided,Web,10/08/25,Closed with explanation,Yes,N/A,16449950
11/06/25,Checking or savings account,Other banking product or service,Managing an account,Problem making or receiving payments,,None,TD BANK US HOLDING COMPANY,MD,216XX,Older American,None,Web,11/06/25,Closed with monetary relief,Yes,N/A,17068998
11/05/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,FL,33322,None,None,Web,11/05/25,Closed with explanation,Yes,N/A,17005763
11/05/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,TX,77382,None,None,Web,11/05/25,In progress,Yes,N/A,17008987
10/26/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,NC,28572,None,None,Web,10/26/25,Closed with explanation,Yes,N/A,16824136
11/05/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,NC,284XX,None,None,Web,11/05/25,Closed with explanation,Yes,N/A,17037639
11/06/25,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,None,TD BANK US HOLDING COMPANY,MD,20902,Older American,N/A,Phone,11/06/25,Closed with explanation,Yes,N/A,17075567
10/14/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,95695,None,None,Web,10/14/25,Closed with explanation,Yes,N/A,16582697
10/17/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,VA,20148,None,None,Web,11/04/25,Closed with explanation,Yes,N/A,16646943
11/03/25,Checking or savings account,Checking account,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,PA,19401,None,N/A,Phone,11/03/25,Closed with explanation,Yes,N/A,17001387
11/13/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,NY,12054,None,None,Web,11/13/25,In progress,Yes,N/A,17182301
10/18/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,NJ,07093,None,N/A,Referral,10/20/25,Closed with explanation,Yes,N/A,16711457
10/24/25,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,,None,TD BANK US HOLDING COMPANY,NY,115XX,None,None,Web,10/24/25,Closed with explanation,Yes,N/A,16795382
10/12/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,IN,46074,None,None,Web,10/12/25,Closed with monetary relief,Yes,N/A,16529151
10/07/25,Mortgage,Other type of mortgage,Trouble during payment process,Payment process,"I have asked on several occasions for a detailed statement showing how my payments have been applied to my commercial loan with TD Bank. I have not been provided with that information. Each month I am only told the exact amount due, but I have been sending additional funds to bring my account up to date. I have never received confirmation or documentation showing how the extra payments were applied. 

Most recently, I received a late notice for XX/XX/year>, even though I made the payment on time and included additional funds. When I contacted the representative assigned to my account, I was told that the money has not been applied. 

I am requesting monthly statements showing how all of my payments are applied to my loan and a complete accounting of all funds I have submitted.",None,TD BANK US HOLDING COMPANY,PA,193XX,None,Consent provided,Web,10/07/25,Closed with explanation,Yes,N/A,16424042
11/01/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,PA,19468,None,None,Web,11/01/25,Closed with monetary relief,Yes,N/A,16963937
11/24/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,MD,20783,None,None,Web,11/24/25,Closed with non-monetary relief,Yes,N/A,17485662
11/13/25,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,GA,31210,None,None,Web,11/13/25,In progress,Yes,N/A,17234110
11/05/25,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,,None,TD BANK US HOLDING COMPANY,NY,10805,None,None,Web,11/05/25,Closed with monetary relief,Yes,N/A,17044787
11/06/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,CA,91364,None,None,Web,11/06/25,In progress,Yes,N/A,17066806
10/14/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,95348,None,None,Web,10/14/25,Closed with explanation,Yes,N/A,16532963
11/08/25,Mortgage,Home equity loan or line of credit (HELOC),Applying for a mortgage or refinancing an existing mortgage,Fees or costs during the application process,,None,TD BANK US HOLDING COMPANY,NY,11520,None,N/A,Referral,11/10/25,Closed with explanation,Yes,N/A,17132924
10/18/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,GU,XXXXX,Servicemember,None,Web,10/18/25,Closed with non-monetary relief,Yes,N/A,16673429
11/11/25,Debt collection,Credit card debt,Communication tactics,Frequent or repeated calls,,None,TD BANK US HOLDING COMPANY,OH,44310,None,None,Web,11/11/25,Closed with monetary relief,Yes,N/A,17172065
10/31/25,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,IL,60643,None,None,Web,10/31/25,In progress,Yes,N/A,16942951
10/23/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,FL,33130,None,None,Web,10/23/25,Closed with explanation,Yes,N/A,16784178
10/13/25,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,,None,TD BANK US HOLDING COMPANY,PA,19139,None,None,Web,10/13/25,Closed with explanation,Yes,N/A,16556557
10/29/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,NJ,07644,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16859290
10/08/25,Credit card,Store credit card,Incorrect information on your report,Account status incorrect,"I am filing this complaint against Target/TD Bank for furnishing inaccurate and inconsistent information to the credit bureaus, in violation of the Fair Credit Reporting Act ( FCRA ) and Fair Debt Collection Practices Act ( FDCPA ). 

The same Target/TD account is reported differently across all three credit bureaus : XXXX  : XXXX, {$540.00} balance, 120 days late, not disputed. 

XXXX  : Closed, charged off, {$590.00} balance, not disputed. 

XXXX  : Open, disputed, {$540.00} balance. 

These contradictions violate FCRA 1681e ( b ) ( accuracy requirement ), 1681s-2 ( a ) ( furnisher accuracy ), and 1681i ( reinvestigation ). XXXX  shows an active dispute, yet XXXX  and XXXX  do not violating FDCPA 807 ( 8 ) and FCRA 623 ( b ), which require furnishers to report disputed accounts consistently to all CRAs. 

This inaccurate and conflicting reporting has negatively impacted my credit profile. I am requesting that the CFPB investigate Target/TD Banks reporting practices, require deletion or correction of unverifiable data, and ensure compliance with the FCRA and FDCPA. 

Requested Resolution : Deletion of the inaccurate information from all CRAs. 

Confirmation of dispute handling procedures and reinvestigation results. 

Corrective compliance action against Target/TD if violations are confirmed.",None,TD BANK US HOLDING COMPANY,NY,11801,None,Consent provided,Web,10/08/25,Closed with non-monetary relief,Yes,N/A,16443763
11/14/25,Credit card,Store credit card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,,None,TD BANK US HOLDING COMPANY,PA,19128,None,None,Web,11/14/25,Closed with monetary relief,Yes,N/A,17254142
11/10/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,TX,75216,None,None,Web,11/10/25,Closed with non-monetary relief,Yes,N/A,17128661
10/31/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,95242,None,None,Web,10/31/25,Closed with explanation,Yes,N/A,16944773
10/08/25,Checking or savings account,Checking account,Closing an account,Can't close your account,"On XXXX I received an email from my landlord that they received a check from the same TD Bank account whose check bounced last month thus incurring a fee for me. The TD branch managers XX/XX/XXXX letter states that the account is being closed and that checks received after XXXX will be returned. I was advised to discontinue writing additional checks but I stopped writing checks long ago. The only checks sent from my account was an automatic bill pay that the bank itself sends. Despite their own letter stating not to send checks after XXXX, TD continues to send rent checks from my closed account apparently in retaliation for my negative online reviews. They sent a check in XXXX which bounced and incurred a fee. I complained to both state and federal regulators about this XXXX XXXX which prompted a response from TD stating they would refund me the fee and had stopped sending rent checks as of XXXX. However, they then sent a rent check to my landlord in XXXX. Also, I have yet to receive their promised refund from sending the bounced XXXX check. Im tired of their lies. They need to stop sending checks from an account that has been closed for months and accept that my negative online reviews ( which I am updating for this ) are not coming down despite their continued harassment. 
Earlier complaint : In retaliation for my online XXXX negative review caused by TD telling me they sent my XXXX XXXX XXXX. to the wrong email address when I opened a CD ( the rep kept repeating the wrong address, adding an extra m ), I received a letter from TD stating that they were giving me 15 days notice that they were closing my checking account even though my review posted online three days earlier said I'd be closing it and moving to XXXX. However, the letter was sent on XX/XX/XXXX which is after it is dated. Therefore, I did not receive the notice they claimed and filed a complaint with CFPB on XX/XX/XXXX about that and about being unable to close my CD. The subject of the letter from TD was my checking account and the letter stated that account alone would be closed XXXX which did not afford the 15 day notice claimed. In the meantime, I closed my savings account but was told I could not close my CD without incurring a large penalty even though I had just opened it the prior day. XXXX XXXX from TD responded to my complaint in a letter dated XX/XX/XXXX which, like the last one, was sent after it was dated. It was not received by me until XX/XX/XXXX. In it he said my accounts ( plural ) would be closed out on XX/XX/XXXX and I would not be charged an early closeout penalty on the CD. Since the letter was received after the XXXX deadline, it was too late as I had already closed both the checking account and CD which included interest and no penalty despite my being told on XX/XX/XXXX that TD would not allow that. Today I received an email from my landlord that the attached check dated XXXX was mailed to them by TD and bounced thus incurring a {$35.00} fee for me. TD sent the check despite closing the account last month, knowing full well that this would cost me a fee. I request that the Board demand that TD Bank cease sending checks from my closed account immediately and reimburse me the bounced check fee. I dont believe that this type of continued harassment after my account closure, and after the gaslighting I experienced at the branch and in their response to my complaint which included absurd allegations, would be happening if I werent a XXXX, XXXX XXXX who wrote a critical online review of the branch after their rep told me they sent my personal info to the wrong email address. This is just continued retaliation and it needs to stop.",None,TD BANK US HOLDING COMPANY,NY,10011,None,Consent provided,Web,10/08/25,Closed with monetary relief,Yes,N/A,16447057
10/26/25,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,None,TD BANK US HOLDING COMPANY,NY,XXXXX,Older American,None,Web,10/26/25,Closed with explanation,Yes,N/A,16822244
10/12/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,MS,39645,Servicemember,None,Web,10/12/25,Closed with explanation,Yes,N/A,16528144
11/03/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,LA,70760,None,None,Web,11/03/25,Closed with explanation,Yes,N/A,16982319
10/22/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,FL,33130,None,None,Web,10/22/25,Closed with explanation,Yes,N/A,16750522
10/31/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,NY,10452,None,None,Web,11/19/25,In progress,Yes,N/A,16939027
10/17/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,NY,11207,None,None,Web,10/17/25,In progress,Yes,N/A,16642991
11/06/25,Credit card,Store credit card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,MI,48176,None,None,Web,11/06/25,Closed with non-monetary relief,Yes,N/A,17031262
11/13/25,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,,None,TD BANK US HOLDING COMPANY,NY,11729,None,None,Web,11/13/25,Closed with explanation,Yes,N/A,17236113
11/13/25,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,,None,TD BANK US HOLDING COMPANY,NY,10950,None,None,Web,11/13/25,Closed with non-monetary relief,Yes,N/A,17227515
10/21/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,None,TD BANK US HOLDING COMPANY,CA,95134,None,None,Web,10/21/25,Closed with monetary relief,Yes,N/A,16690128
10/19/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,OH,44118,None,None,Web,11/04/25,Closed with non-monetary relief,Yes,N/A,16685443
10/31/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,VA,23222,None,None,Web,10/31/25,Closed with explanation,Yes,N/A,16942614
10/03/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  TD Bank USA/Target Credit Account Disputes Department Re XXXX Request for Debt Validation TD Bank USA/Target Credit Account XXXX Acct XXXX XXXX Dear TD Bank USA/Target Credit, I am formally disputing the above-referenced account and requesting full validation under the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g. This letter is a request for validation only and is not an acknowledgment of liability.

Specifically, please provide : 1. Verification of the alleged debt, including the full amount claimed and an itemized statement of how it was calculated.

2. The name and address of the original creditor.

3. Documentation bearing my signature showing I am legally obligated to pay this debt.

4. A complete record of all payments made and how they were applied.

5. Proof that you are licensed and authorized to collect debts in my state.

Until you provide this validation, you must cease all collection activity, including credit reporting. Reporting unverified debt violates the FDCPA and the Fair Credit Reporting Act ( FCRA ). 

If you continue collection efforts without validation, I will file a formal complaint with the Consumer Financial Protection Bureau ( CFPB ), my State Attorney General, and other regulatory agencies. 

Sincerely, XXXX XXXX",None,TD BANK US HOLDING COMPANY,SC,29501,None,Consent provided,Web,10/03/25,Closed with non-monetary relief,Yes,N/A,16346647
10/20/25,Checking or savings account,Checking account,Problem caused by your funds being low,Non-sufficient funds and associated fees,,None,TD BANK US HOLDING COMPANY,NJ,XXXXX,None,None,Web,10/20/25,In progress,Yes,N/A,16701388
10/13/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,IA,50263,None,None,Web,10/21/25,Closed with non-monetary relief,Yes,N/A,16549186
10/24/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,DE,19802,None,None,Web,10/24/25,In progress,Yes,N/A,16771627
11/08/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,VA,23225,Servicemember,None,Web,11/08/25,Closed with explanation,Yes,N/A,17112956
10/29/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,NJ,079XX,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16895257
09/30/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,GA,30291,Servicemember,None,Web,09/30/25,Closed with non-monetary relief,Yes,N/A,16271303
11/08/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,AZ,85253,None,None,Web,11/08/25,Closed with explanation,Yes,N/A,17113415
10/23/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,IL,60620,None,None,Web,10/23/25,Closed with explanation,Yes,N/A,16778778
11/14/25,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,GA,30022,None,None,Web,11/14/25,In progress,Yes,N/A,17250712
10/17/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,LA,71360,None,None,Web,10/17/25,Closed with non-monetary relief,Yes,N/A,16623201
10/30/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,FL,33709,None,None,Web,10/30/25,Closed with explanation,Yes,N/A,16931684
11/18/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,LA,70760,None,None,Web,11/18/25,Closed with explanation,Yes,N/A,17324225
11/12/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,NC,28025,None,None,Web,11/12/25,Closed with monetary relief,Yes,N/A,17185548
10/18/25,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,FL,32824,None,None,Web,10/18/25,Closed with explanation,Yes,N/A,16674148
11/05/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,None,TD BANK US HOLDING COMPANY,FL,32209,None,None,Web,11/05/25,Closed with non-monetary relief,Yes,N/A,17044473
10/08/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,TX,75501,None,None,Web,10/08/25,Closed with explanation,Yes,N/A,16453452
11/11/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,NY,11552,None,None,Web,11/19/25,Closed with explanation,Yes,N/A,17179468
11/03/25,Credit card,Store credit card,"Other features, terms, or problems",Other problem,,None,TD BANK US HOLDING COMPANY,GA,30519,None,None,Web,11/03/25,In progress,Yes,N/A,16991750
10/30/25,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,CA,92808,None,None,Web,10/30/25,Closed with non-monetary relief,Yes,N/A,16890486
10/23/25,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,FL,33172,None,None,Web,10/23/25,Closed with non-monetary relief,Yes,N/A,16767179
10/02/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,OH,43623,Older American,N/A,Phone,10/02/25,Closed with monetary relief,Yes,N/A,16320627
11/10/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,MD,20774,None,None,Web,11/10/25,Closed with explanation,Yes,N/A,17150653
10/23/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,TX,77365,None,None,Web,10/23/25,In progress,Yes,N/A,16769506
11/06/25,Checking or savings account,Savings account,Closing an account,Fees charged for closing account,,None,TD BANK US HOLDING COMPANY,DC,20017,Older American,None,Web,11/06/25,In progress,Yes,N/A,17073997
10/15/25,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,,None,TD BANK US HOLDING COMPANY,PA,194XX,None,None,Web,10/15/25,In progress,Yes,N/A,16608712
10/30/25,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,NY,11423,None,None,Web,10/30/25,Closed with explanation,Yes,N/A,16917327
11/05/25,Vehicle loan or lease,Loan,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CA,94568,None,None,Web,11/05/25,Closed with explanation,Yes,N/A,17006589
11/04/25,Debt collection,Credit card debt,Electronic communications,Contacted before 8am or after 9pm,,None,TD BANK US HOLDING COMPANY,IL,60653,None,None,Web,11/04/25,In progress,Yes,N/A,17024336
11/23/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,CA,92223,None,None,Web,11/23/25,Closed with non-monetary relief,Yes,N/A,17455504
10/10/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,FL,34476,None,None,Web,10/10/25,Closed with explanation,Yes,N/A,16491187
09/29/25,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,None,"XXXX XXXX XXXX retired .Opened on XX/XX/year> a TD bank Checking acc with {$20.00} dollars, applied for an unsecured loan {$15.00} ( 60 months loan at 8.99 % ), loan was disbursement XX/XX/year>, Wire transfer outgoing to XXXX XXXX XX/XX/year>, XX/XX/year> money was gone. The loan itself was for the purpose of a wire transfer to a cryptocurrency exchange, TD liability, TD was involved in executing the wire to XXXXTD ignored red flags ( negligence claim ). The TD bank that executed the wire do not followed proper security procedures., TD bank failed to do so in a commercially reasonable manner, TD failed the uniform commercial code ( UCC ). TD failed to act on obvious red flags, ( the complete loan amount was transferred to XXXX the following day of disbursement.TD failed to monitor suspicious cryptocurrency transaction.TD failed financial elder abuse laws.TD knowingly assisted my senior husband to finalize the loan application, an TD employee helped him using his phone at the branch, she acted with reckless disregard my husband 's financial wellbeing.TD has history of compliance issues related to cryptocurrency transactions. 24 hours after the wire, I went to the branch in person XXXXXXXX XXXX XXXX XXXX XXXXXXXX SC XXXXI spoke to the store manager about the fraud, she do not show any interest in help us.",None,TD BANK US HOLDING COMPANY,SC,296XX,Older American,Consent provided,Web,09/29/25,Closed with explanation,Yes,N/A,16239487
11/02/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,MN,563XX,None,None,Web,11/02/25,Closed with non-monetary relief,Yes,N/A,16977103
10/04/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,NY,12979,Servicemember,Consent not provided,Web,10/04/25,Closed with explanation,Yes,N/A,16369958
11/14/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,TX,77449,None,None,Web,11/14/25,Closed with explanation,Yes,N/A,17262830
10/07/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,PA,19454,None,Consent not provided,Web,10/07/25,Closed with non-monetary relief,Yes,N/A,16413293
10/15/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,MA,02360,None,None,Web,10/15/25,Closed with explanation,Yes,N/A,16595441
10/02/25,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,,None,TD BANK US HOLDING COMPANY,NJ,08330,None,N/A,Phone,10/02/25,Closed with explanation,Yes,N/A,16320421
10/21/25,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Problem with rewards from credit card,,None,TD BANK US HOLDING COMPANY,NY,10952,None,None,Web,10/21/25,In progress,Yes,N/A,16692828
10/30/25,Checking or savings account,Other banking product or service,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,NY,11418,None,N/A,Referral,10/31/25,Closed with explanation,Yes,N/A,16940145
10/31/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,TX,78211,None,None,Web,10/31/25,Closed with explanation,Yes,N/A,16944005
11/06/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,MA,02186,None,None,Web,11/06/25,Closed with non-monetary relief,Yes,N/A,17059258
10/29/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,94080,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16911562
10/24/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,WI,53546,None,None,Web,10/24/25,Closed with non-monetary relief,Yes,N/A,16794361
