sentiment_label,sentiment_numeric,prob_neg,prob_neu,prob_pos
neutral,0,0.02629188634455204,0.9470782279968262,0.02662983164191246
positive,1,0.030311953276395798,0.030874090269207954,0.9388139843940735
positive,1,0.03000221587717533,0.03214487060904503,0.9378528594970703
neutral,0,0.0264492928981781,0.9458595514297485,0.027691075578331947
positive,1,0.028740640729665756,0.03912753984332085,0.9321317672729492
positive,1,0.02800804190337658,0.04521584510803223,0.9267760515213013
positive,1,0.030051711946725845,0.03261107951402664,0.9373372793197632
neutral,0,0.026824861764907837,0.9462404251098633,0.026934616267681122
neutral,0,0.026192110031843185,0.9463236927986145,0.027484184131026268
positive,1,0.02983366698026657,0.0328686349093914,0.9372977018356323
neutral,0,0.0273741502314806,0.9445331692695618,0.028092658147215843
neutral,0,0.028954971581697464,0.9451726675033569,0.02587226592004299
neutral,0,0.053493913263082504,0.9189156293869019,0.02759047970175743
neutral,0,0.08710646629333496,0.8808134198188782,0.032080117613077164
neutral,0,0.027407435700297356,0.9463039636611938,0.026288561522960663
negative,-1,0.9361782073974609,0.03480527177453041,0.029016567394137383
neutral,0,0.06578264385461807,0.9045961499214172,0.02962125837802887
neutral,0,0.05204734578728676,0.9195010662078857,0.028451552614569664
negative,-1,0.9114886522293091,0.05884701758623123,0.029664237052202225
neutral,0,0.10355250537395477,0.8634395599365234,0.0330079048871994
negative,-1,0.9346993565559387,0.03653576597571373,0.02876489795744419
negative,-1,0.9333152770996094,0.03835492208600044,0.028329817578196526
neutral,0,0.026731271296739578,0.9459011554718018,0.027367588132619858
neutral,0,0.022993866354227066,0.8828327655792236,0.0941733792424202
neutral,0,0.026646170765161514,0.9471411108970642,0.026212764903903008
neutral,0,0.0272083543241024,0.9453181028366089,0.02747359126806259
neutral,0,0.027947252616286278,0.9440100193023682,0.028042765334248543
neutral,0,0.028795044869184494,0.9454711675643921,0.025733765214681625
positive,1,0.028436977416276932,0.032654523849487305,0.9389084577560425
negative,-1,0.9348589181900024,0.03385128080844879,0.031289733946323395
neutral,0,0.026714732870459557,0.946032702922821,0.027252666652202606
neutral,0,0.1911744624376297,0.7734671831130981,0.03535835072398186
